fdc_id,data_type,description,food_category_id,publication_date
321358,foundation_food,"Hummus, commercial",16,2019-04-01
321359,foundation_food,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1,2019-04-01
321360,foundation_food,"Tomatoes, grape, raw",11,2019-04-01
321505,foundation_food,"Salt, table, iodized",2,2019-04-01
321611,foundation_food,"Beans, snap, green, canned, regular pack, drained solids",11,2019-04-01
321900,foundation_food,"Broccoli, raw",11,2019-04-01
322228,foundation_food,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1,2019-04-01
322559,foundation_food,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1,2019-04-01
322892,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D",1,2019-04-01
323121,foundation_food,"Frankfurter, beef, unheated",7,2019-04-01
323294,foundation_food,"Nuts, almonds, dry roasted, with salt added",12,2019-04-01
323444,foundation_food,"Cheese, ricotta, whole milk",1,2019-04-01
323505,foundation_food,"Kale, raw",11,2019-04-01
323604,foundation_food,"Egg, whole, raw, frozen, pasteurized",1,2019-04-01
323697,foundation_food,"Egg, white, raw, frozen, pasteurized",1,2019-04-01
323793,foundation_food,"Egg, white, dried",1,2019-04-01
324038,foundation_food,"Sauce, salsa, ready-to-serve",6,2019-04-01
324157,foundation_food,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",7,2019-04-01
324317,foundation_food,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",11,2019-04-01
324653,foundation_food,"Pickles, cucumber, dill or kosher dill",11,2019-04-01
324860,foundation_food,"Peanut butter, smooth style, with salt",16,2019-04-01
325036,foundation_food,"Cheese, parmesan, grated",1,2019-04-01
325198,foundation_food,"Cheese, pasteurized process, American, vitamin D fortified",1,2019-04-01
325287,foundation_food,"Grapefruit juice, white, canned or bottled, unsweetened",9,2019-04-01
325430,foundation_food,"Peaches, yellow, raw",9,2019-04-01
325524,foundation_food,"Seeds, sunflower seed kernels, dry roasted, with salt added",12,2019-04-01
325658,foundation_food,"Sausage, Italian, pork, mild, cooked, pan-fried",7,2019-04-01
325871,foundation_food,"Bread, white, commercially prepared",18,2019-04-01
325992,foundation_food,"Sausage, turkey, breakfast links, mild, raw",7,2019-04-01
326135,foundation_food,"Cheese, swiss",1,2019-04-01
326196,foundation_food,"Kale, frozen, cooked, boiled, drained, without salt",11,2019-04-01
326458,foundation_food,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",11,2019-04-01
326698,foundation_food,"Mustard, prepared, yellow",2,2019-04-01
326905,foundation_food,"Figs, dried, uncooked",9,2019-04-01
327046,foundation_food,"Kiwifruit, green, raw",9,2019-04-01
327198,foundation_food,"Melons, cantaloupe, raw",9,2019-04-01
327357,foundation_food,"Nectarines, raw",9,2019-04-01
327501,foundation_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",9,2019-04-01
327699,foundation_food,"Strawberries, raw",9,2019-04-01
327923,foundation_food,"Lettuce, cos or romaine, raw",11,2019-04-01
328637,foundation_food,"Cheese, cheddar",1,2019-04-01
328841,foundation_food,"Cheese, cottage, lowfat, 2% milkfat",1,2019-04-01
329370,foundation_food,"Cheese, mozzarella, low moisture, part-skim",1,2019-04-01
329490,foundation_food,"Egg, whole, dried",1,2019-04-01
329596,foundation_food,"Egg, yolk, raw, frozen, pasteurized",1,2019-04-01
329716,foundation_food,"Egg, yolk, dried",1,2019-04-01
329830,foundation_food,"Cheese, dry white, queso seco",1,2019-04-01
330137,foundation_food,"Yogurt, Greek, plain, nonfat",1,2019-04-01
330415,foundation_food,"Yogurt, Greek, strawberry, nonfat",1,2019-04-01
330458,foundation_food,"Oil, coconut",4,2019-04-01
330869,foundation_food,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",5,2019-04-01
331897,foundation_food,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",5,2019-04-01
331960,foundation_food,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",5,2019-04-01
332282,foundation_food,"Sauce, pasta, spaghetti/marinara, ready-to-serve",6,2019-04-01
332397,foundation_food,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",7,2019-04-01
332597,foundation_food,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",9,2019-04-01
332791,foundation_food,"Olives, green, Manzanilla, stuffed with pimiento",9,2019-04-01
332864,foundation_food,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",7,2019-04-01
